D037G;61.41472;73.70611;1;
D043K;57.28302;65.62427;1;
D046G;61.40056;73.72889;1;
D050K;66.63898;67.03203;1;
D056T;66.64872;67.42164;1;
D057P;61.01928;76.98200;1;
D063M;66.60190;67.13719;1;
D066E;61.35389;73.67556;1;
D067P;60.97472;77.00074;1;
D070K;57.19979;65.67491;1;
D070M;66.57615;67.13720;1;
D073M;71.15765;72.63080;1;
D079K;57.13518;65.57842;1;
D080E;61.33389;73.67556;1;
D084I;57.16205;65.59143;1;
D084M;57.15000;65.73361;1;
D086I;57.16956;65.59380;1;
D086J;57.17672;65.59506;1;
D089H;57.18420;65.59399;1;
D093G;61.30556;73.72722;1;
D093J;57.09390;65.53629;1;
D095M;66.48837;67.07424;1;
D096P;60.84530;76.96363;1;
D099G;61.29333;73.72944;1;
D099I;57.12445;65.57069;1;
D099K;57.10706;65.64550;1;
D099M;57.09194;65.70139;1;
D099S;57.05194;65.86056;1;
D101J;57.12922;65.57389;1;
D101K;57.13293;65.57742;1;
D105H;57.14716;65.58597;1;
D106G;61.27889;73.71556;1;
D115K;57.06278;65.59611;1;
D119K;57.05222;65.57833;1;
D120J;57.06910;65.54737;1;
D120K;57.06605;65.55300;1;
D120L;57.06515;65.55195;1;
D130M;71.00296;72.20540;1;
D143H;59.94583;64.89306;1;
D156M;66.37719;66.61709;1;
D161I;59.91167;64.81528;1;
D163P;60.68306;76.47706;1;
D164M;56.96194;65.33556;1;
D167M;70.99918;71.78850;1;
D172M;66.38429;66.47179;1;
D181P;60.69433;76.31215;1;
D197N;60.75556;76.21802;1;
D207K;66.47456;66.27042;1;
D208M;71.08832;71.41973;1;
D213I;57.04584;65.03045;1;
D213K;57.06811;65.07711;1;
D215K;57.06222;65.06528;1;
D215N;60.80229;76.11088;1;
D220M;57.05528;64.99778;1;
D223P;60.80879;76.00989;1;
D225H;61.28222;73.06056;1;
D230H;61.29306;73.04500;1;
D231K;66.53898;66.18332;1;
D234M;71.17943;71.31544;1;
D235K;66.55089;66.17565;1;
D236H;61.30694;73.04222;1;
D238T;66.53424;65.78902;1;
D238V;66.52916;65.71512;1;
D248F;61.33556;73.08556;1;
D252K;61.34056;72.93556;1;
D253E;61.34417;73.11806;1;
D258F;61.35222;73.08889;1;
D265G;61.37056;73.04889;1;
D269M;57.23556;64.93278;1;
D275H;61.39222;73.04556;1;
D283P;61.06966;75.99673;1;
D286M;71.36044;71.51022;1;
D288G;61.41389;73.09222;1;
D289T;66.80828;65.98117;1;
D290K;66.70781;66.28266;1;
D290M;66.73144;66.21785;1;
D290T;66.81153;65.98851;1;
D291T;66.81590;65.99869;1;
D292T;66.81960;66.00761;1;
D293F;61.40722;73.14056;1;
D300D;57.23799;65.23472;1;
D300I;57.31807;65.08611;1;
D300M;57.33917;65.03833;1;
D325M;57.39250;65.19194;1;
D338K;66.76409;66.61569;1;
D338M;66.79896;66.61725;1;
D352P;61.20235;76.54304;1;
DA001;71.16838;71.72177;1;
DA002;71.13114;71.46957;1;
DA003;71.22187;71.34317;1;
DA004;71.04033;71.59481;1;
DA005;71.07684;71.84679;1;
DA006;71.16935;71.72957;1;
DA007;71.34164;72.00515;1;
DA101;71.23834;72.20411;1;
DA201;71.26044;72.35966;1;
DA202;71.29647;72.61524;1;
DA203;71.38724;72.48811;1;
DA204;71.20561;72.74119;1;
DA205;71.16870;72.48667;1;
DA206;71.25932;72.35306;1;
DA207;71.32281;72.02949;1;
DA301;71.19069;71.87401;1;
DA302;71.17479;72.34961;1;
DANAT;64.90056;67.99833;0;
DB001;70.28229;68.47069;1;
DB002;70.34790;68.19609;1;
DB003;70.20698;67.96891;1;
DB004;70.32911;67.76058;1;
DB006;70.49221;68.10031;1;
DB007;70.41074;67.92977;1;
DB008;70.36199;68.13667;1;
DB009;70.29937;68.90581;1;
DB011;70.13779;68.56292;1;
DB012;70.21866;68.73369;1;
DB013;70.26815;68.52941;1;
DB018;70.16045;68.97150;1;
DD004;66.54938;66.42144;1;
DD022;66.63265;66.80683;1;
DD041;66.54860;66.41735;1;
DD042;66.50519;66.21922;1;
DD043;66.59222;66.09785;1;
DD044;66.45696;66.00120;1;
DD045;66.41807;66.33974;1;
DD046;66.62390;66.24203;1;
DD047;66.45841;66.52221;1;
DD049;66.75803;65.91482;1;
DD051;66.63771;66.15144;1;
DD221;66.63354;66.81042;1;
DD222;66.67619;67.01062;1;
DD223;66.58824;67.12814;1;
DD224;66.72302;67.23253;1;
DD225;66.76406;66.89226;1;
DD226;66.73325;66.74605;1;
DD228;66.83767;66.24465;1;
DEGIT;70.11556;69.21222;0;
DEKIS;61.17889;83.17250;0;
DELEN;57.59861;65.05361;0;
DEMUP;60.43028;64.52278;0;
DEPON;67.02389;77.93361;0;
DER03;60.96046;76.50281;1;
DER03_;57.18730;65.31769;1;
DER04;66.59649;66.63810;1;
DER12;57.17272;65.35549;1;
DER13;67.97827;75.10869;1;
DER16;62.09914;65.61278;1;
DER21;60.93918;76.46312;1;
DER21_;57.16918;65.28097;1;
DER22;66.58483;66.58416;1;
DER30;57.18979;65.32377;1;
DER34;62.12183;65.61483;1;
DERUR;60.71056;75.68278;0;
DERUS;64.85889;71.02500;0;
DIDET;66.45750;77.07944;0;
DIGAP;61.21528;74.27556;0;
DIGLU;64.97139;72.79972;0;
DIKAR;60.98333;74.91667;1;
DILON;72.51917;75.13611;0;
DINAT;58.20750;69.06139;0;
DINOL;62.82472;74.67806;0;
DINRA;61.17889;64.48556;0;
DIPAR;66.15667;66.33056;0;
DIRET;69.13389;66.64278;0;
DIRUK;63.77056;82.82444;0;
DISAB;60.83667;71.58583;0;
DITLI;62.03750;60.71833;0;
DITUL;65.18694;71.89111;0;
DOKOL;57.99278;67.60000;0;
DOMEK;56.99694;66.07833;0;
DOSIR;65.36139;82.92139;0;
DUDLA;66.89000;65.76667;0;
EKREG;61.82972;82.80222;0;
EN28;70.31022;68.36773;1;
ENIRA;61.09722;65.98000;0;
ERUSA;63.17083;59.71111;0;
FD04;66.55351;66.41366;1;
FD06Y;61.00062;68.86178;1;
FD06Z;61.00435;68.89210;1;
FD14;65.57632;72.58793;1;
FD21;57.23705;65.38674;1;
FD22;71.26021;72.36129;1;
FD22_;66.63724;66.80660;1;
FD24Y;61.04878;69.31316;1;
FD24Z;61.04631;69.28381;1;
FD30;57.12709;65.45001;1;
FD32;65.38484;72.77621;1;
FF01;63.10361;75.18667;1;
FF03;60.87000;76.33472;1;
FF03_;57.11861;65.17889;1;
FF04;71.16832;71.72154;1;
FF04_;66.54854;66.41976;1;
FF06;61.00916;68.93441;1;
FF07;61.34306;73.20333;1;
FF09;66.10083;76.27972;1;
FF13;68.06364;75.00856;1;
FF14;65.57878;72.60055;1;
FF16;63.78051;66.70829;1;
FF17;62.28556;74.56944;1;
FF19;63.26446;75.35207;1;
FF21;61.02111;76.61639;1;
