//SPECIAL AREA D25 0 AGL - 100000 UL - END
//SPECIAL AREA P211 0 AGL - 1800 MSL - START
57.08811;65.62100;57.08910;65.62143;PROHIBIT;
57.08910;65.62143;57.09005;65.62210;PROHIBIT;
57.09005;65.62210;57.09096;65.62296;PROHIBIT;
57.09096;65.62296;57.09180;65.62402;PROHIBIT;
57.09180;65.62402;57.09256;65.62527;PROHIBIT;
57.09256;65.62527;57.09323;65.62668;PROHIBIT;
57.09323;65.62668;57.09381;65.62820;PROHIBIT;
57.09381;65.62820;57.09428;65.62988;PROHIBIT;
57.09428;65.62988;57.09464;65.63162;PROHIBIT;
57.09464;65.63162;57.09487;65.63345;PROHIBIT;
57.09487;65.63345;57.09499;65.63531;PROHIBIT;
57.09499;65.63531;57.09500;65.63611;PROHIBIT;
//SPECIAL AREA P212 0 AGL - 1800 MSL - END
//SPECIAL AREA P218 0 AGL - 1600 AGL - START
61.29472;73.51221;61.29459;73.51688;PROHIBIT;
61.29459;73.51688;61.29418;73.52145;PROHIBIT;
61.29418;73.52145;61.29351;73.52591;PROHIBIT;
61.29351;73.52591;61.29258;73.53015;PROHIBIT;
61.29258;73.53015;61.29140;73.53412;PROHIBIT;
61.29140;73.53412;61.29001;73.53775;PROHIBIT;
61.29001;73.53775;61.28841;73.54102;PROHIBIT;
61.28841;73.54102;61.28664;73.54385;PROHIBIT;
61.28664;73.54385;61.28471;73.54623;PROHIBIT;
61.28471;73.54623;61.28266;73.54807;PROHIBIT;
61.28266;73.54807;61.28051;73.54941;PROHIBIT;
61.28051;73.54941;61.27830;73.55017;PROHIBIT;
61.27830;73.55017;61.27607;73.55035;PROHIBIT;
61.27607;73.55035;61.27383;73.54999;PROHIBIT;
61.27383;73.54999;61.27164;73.54907;PROHIBIT;
61.27164;73.54907;61.26952;73.54758;PROHIBIT;
61.26952;73.54758;61.26750;73.54556;PROHIBIT;
61.26750;73.54556;61.26561;73.54306;PROHIBIT;
61.26561;73.54306;61.26389;73.54010;PROHIBIT;
61.26389;73.54010;61.26234;73.53674;PROHIBIT;
61.26234;73.53674;61.26101;73.53299;PROHIBIT;
61.26101;73.53299;61.25991;73.52893;PROHIBIT;
61.25991;73.52893;61.25906;73.52463;PROHIBIT;
61.25906;73.52463;61.25846;73.52014;PROHIBIT;
61.25846;73.52014;61.25813;73.51553;PROHIBIT;
61.25813;73.51553;61.25807;73.51089;PROHIBIT;
61.25807;73.51089;61.25828;73.50626;PROHIBIT;
61.25828;73.50626;61.25877;73.50171;PROHIBIT;
61.25877;73.50171;61.25951;73.49731;PROHIBIT;
61.25951;73.49731;61.26051;73.49316;PROHIBIT;
61.26051;73.49316;61.26175;73.48929;PROHIBIT;
61.26175;73.48929;61.26320;73.48575;PROHIBIT;
61.26320;73.48575;61.26485;73.48257;PROHIBIT;
61.26485;73.48257;61.26667;73.47989;PROHIBIT;
61.26667;73.47989;61.26864;73.47766;PROHIBIT;
61.26864;73.47766;61.27072;73.47595;PROHIBIT;
61.27072;73.47595;61.27289;73.47479;PROHIBIT;
61.27289;73.47479;61.27510;73.47418;PROHIBIT;
61.27510;73.47418;61.27734;73.47412;PROHIBIT;
61.27734;73.47412;61.27957;73.47464;PROHIBIT;
61.27957;73.47464;61.28175;73.47574;PROHIBIT;
61.28175;73.47574;61.28384;73.47736;PROHIBIT;
61.28384;73.47736;61.28583;73.47952;PROHIBIT;
61.28583;73.47952;61.28767;73.48215;PROHIBIT;
61.28767;73.48215;61.28935;73.48523;PROHIBIT;
61.28935;73.48523;61.29084;73.48874;PROHIBIT;
61.29084;73.48874;61.29210;73.49255;PROHIBIT;
61.29210;73.49255;61.29314;73.49670;PROHIBIT;
61.29314;73.49670;61.29392;73.50107;PROHIBIT;
61.29392;73.50107;61.29445;73.50558;PROHIBIT;
61.29445;73.50558;61.29470;73.51022;PROHIBIT;
61.29470;73.51022;61.29472;73.51221;PROHIBIT;
