XZ;290.000;57.21125;65.28381; //TYUMEN
Y;568.000;66.06392;76.56614; //NOVY URENGOY
Y;568.000;66.06392;76.56614; //NOVY URENGOY
YC;275.000;66.05606;76.62736; //NOVY URENGOY
YC;275.000;66.05606;76.62736; //NOVY URENGOY
Z;345.000;61.03389;69.12869; //KHANTY-MANSIYSK
Z;345.000;61.03389;69.12869; //KHANTY-MANSIYSK
Z;1252.000;63.16572;75.25033; //NOYABRSK
Z;1252.000;63.16572;75.25033; //NOYABRSK
ZE;615.000;63.14186;75.22569; //NOYABRSK
ZE;615.000;63.14186;75.22569; //NOYABRSK
ZJ;707.000;61.04100;69.18631; //KHANTY-MANSIYSK
ZJ;707.000;61.04100;69.18631; //KHANTY-MANSIYSK
